rna_class,n,median,mean,sd,q1,q3,iqr,p_value,method,metric,level,p_fdr
ncRNA,15,0.048209366391184574,0.10729527054581091,0.15539160044044917,0.022942504524026325,0.10489358978146758,0.08195108525744126,0.15233029286944183,AlcoR,property_fraction__mixed_charge_polyampholyte,protein,0.16946745081725403
pre-rRNA,11,0.1293916023993145,0.3265771144920894,0.37038321852144734,0.07909803921568628,0.48220344714860613,0.4031054079329198,0.15233029286944183,AlcoR,property_fraction__mixed_charge_polyampholyte,protein,0.16946745081725403
ribosomal protein,5,0.13253012048192772,0.3180916420008826,0.2858477611119641,0.12340425531914893,0.49295774647887325,0.3695534911597243,0.15233029286944183,AlcoR,property_fraction__mixed_charge_polyampholyte,protein,0.16946745081725403
snRNA,6,0.16374098511585083,0.25728830811329345,0.2802650584019134,0.06122755644601988,0.34304808442491685,0.28182052797889695,0.15233029286944183,AlcoR,property_fraction__mixed_charge_polyampholyte,protein,0.16946745081725403
snoRNA,4,0.09821178213674553,0.10367700530704797,0.09111447507660311,0.04042154164135164,0.16146724580244187,0.12104570416109023,0.15233029286944183,AlcoR,property_fraction__mixed_charge_polyampholyte,protein,0.16946745081725403
tRNA,20,0.058079361917567185,0.13548797540836782,0.22434957500880653,0.02705157724530514,0.14881477884700275,0.12176320160169761,0.15233029286944183,AlcoR,property_fraction__mixed_charge_polyampholyte,protein,0.16946745081725403
unknown,55,0.07369942196531792,0.17453942938559422,0.21619758992740754,0.027160322139250972,0.2732092808229073,0.24604895868365634,0.15233029286944183,AlcoR,property_fraction__mixed_charge_polyampholyte,protein,0.16946745081725403
diverse,3,0.04047619047619048,0.18390873843791763,0.27570158737562334,0.024983857949959644,0.27111734494501205,0.24613348699505241,0.007671890907151966,AlcoR,property_fraction__other,protein,0.018966619187125694
mRNA,104,0.2609013306687725,0.36008115381231093,0.350003904921318,0.0468013468013468,0.6033358833295355,0.5565345365281886,0.007671890907151966,AlcoR,property_fraction__other,protein,0.018966619187125694
ncRNA,11,0.037685572896840505,0.09678152037347706,0.1425107004316091,0.01588826985201139,0.09054766734279919,0.0746593974907878,0.007671890907151966,AlcoR,property_fraction__other,protein,0.018966619187125694
pre-rRNA,7,0.03436426116838488,0.31618961099171206,0.40855632629822264,0.018834005376344085,0.5666844906214201,0.5478504852450761,0.007671890907151966,AlcoR,property_fraction__other,protein,0.018966619187125694
ribosomal protein,9,0.4444444444444444,0.43270095288835286,0.3859339082481691,0.09852216748768473,0.5858585858585859,0.48733641837090114,0.007671890907151966,AlcoR,property_fraction__other,protein,0.018966619187125694
snRNA,8,0.26442307692307687,0.3700449336744058,0.38173708739249174,0.11380510842705711,0.44052883650845825,0.32672372808140115,0.007671890907151966,AlcoR,property_fraction__other,protein,0.018966619187125694
snoRNA,2,0.049510732323232325,0.049510732323232325,0.021405157927963984,0.04194286616161616,0.05707859848484849,0.015135732323232329,0.007671890907151966,AlcoR,property_fraction__other,protein,0.018966619187125694
tRNA,7,0.045662100456621,0.048631857959611884,0.03472254490179007,0.023784171491529685,0.06780671332136,0.044022541829830314,0.007671890907151966,AlcoR,property_fraction__other,protein,0.018966619187125694
unknown,63,0.09333333333333334,0.22820446048280296,0.3001945587185436,0.023412840380583194,0.2996604711400469,0.2762476307594637,0.007671890907151966,AlcoR,property_fraction__other,protein,0.018966619187125694
diverse,7,0.06020066889632107,0.06934330035479117,0.05141862904591946,0.034174030141789706,0.10181436497225971,0.06764033483047,0.00010051099279581489,AlcoR,property_fraction__unmapped_physicochemical_properties,protein,0.000993942039869725
mRNA,65,0.0380952380952381,0.051177991985679426,0.04201025755785477,0.020768431983385256,0.06386701662292213,0.04309858463953688,0.00010051099279581489,AlcoR,property_fraction__unmapped_physicochemical_properties,protein,0.000993942039869725
ncRNA,11,0.022426095820591234,0.030810378267540406,0.023027888857399505,0.013731132445653596,0.041365159618182386,0.02763402717252879,0.00010051099279581489,AlcoR,property_fraction__unmapped_physicochemical_properties,protein,0.000993942039869725
pre-rRNA,12,0.03127117944665218,0.03868793598679211,0.02891364141970986,0.01903782698813551,0.04538498711340206,0.02634716012526655,0.00010051099279581489,AlcoR,property_fraction__unmapped_physicochemical_properties,protein,0.000993942039869725
ribosomal protein,7,0.1201923076923077,0.164008720602798,0.09917272447835618,0.11368264411027568,0.20798145388309322,0.09429880977281754,0.00010051099279581489,AlcoR,property_fraction__unmapped_physicochemical_properties,protein,0.000993942039869725
snRNA,6,0.03373417847641758,0.05319973349569981,0.04928879638638107,0.018044209138062872,0.08726559348281561,0.06922138434475274,0.00010051099279581489,AlcoR,property_fraction__unmapped_physicochemical_properties,protein,0.000993942039869725
snoRNA,1,0.022277227722772276,0.022277227722772276,,0.022277227722772276,0.022277227722772276,0.0,0.00010051099279581489,AlcoR,property_fraction__unmapped_physicochemical_properties,protein,0.000993942039869725
tRNA,17,0.05813953488372093,0.07024809282867472,0.04723244493147093,0.03734439834024896,0.099601593625498,0.06225719528524904,0.00010051099279581489,AlcoR,property_fraction__unmapped_physicochemical_properties,protein,0.000993942039869725
unknown,63,0.023876404494382022,0.03500101645008754,0.031409415043790766,0.014859228362877997,0.04105347192542477,0.026194243562546776,0.00010051099279581489,AlcoR,property_fraction__unmapped_physicochemical_properties,protein,0.000993942039869725
