rna_class,n,median,mean,sd,q1,q3,iqr,p_value,method,level,metric,p_fdr
ncRNA,196,0.10880902043692739,0.11661731666912302,0.07719565826172707,0.07142857142857142,0.1538461538461539,0.08241758241758249,2.627154315952279e-05,AlcoR,lcr,frac_negative,6.30517035828547e-05
pre-rRNA,133,0.1194029850746269,0.13869308850159365,0.09743783972913976,0.07692307692307693,0.1764705882352941,0.09954751131221717,2.627154315952279e-05,AlcoR,lcr,frac_negative,6.30517035828547e-05
ribosomal protein,98,0.08333333333333333,0.08534325738504123,0.07358506345440725,0.023852116875372687,0.125,0.10114788312462732,2.627154315952279e-05,AlcoR,lcr,frac_negative,6.30517035828547e-05
snRNA,87,0.1238095238095238,0.12941149485688963,0.07394529036096367,0.07752403846153846,0.16952104499274312,0.09199700653120466,2.627154315952279e-05,AlcoR,lcr,frac_negative,6.30517035828547e-05
snoRNA,60,0.12036199095022625,0.1431204751939381,0.10303871950568194,0.07923076923076923,0.1745524296675192,0.09532166043674996,2.627154315952279e-05,AlcoR,lcr,frac_negative,6.30517035828547e-05
tRNA,245,0.1204819277108434,0.13021101852769465,0.07850576351149677,0.08108108108108109,0.1666666666666667,0.08558558558558563,2.627154315952279e-05,AlcoR,lcr,frac_negative,6.30517035828547e-05
unknown,885,0.119047619047619,0.13082215240846615,0.09575320252419872,0.07692307692307693,0.1666666666666667,0.08974358974358979,2.627154315952279e-05,AlcoR,lcr,frac_negative,6.30517035828547e-05
diverse,60,0.24922360248447206,0.2497207004968895,0.08476258965435073,0.19737903225806452,0.31392045454545453,0.11654142228739,0.181168116796866,AlcoR,lcr,fcr,0.181168116796866
mRNA,1040,0.25,0.25607790422511556,0.12393730890612735,0.1818181818181818,0.3214285714285715,0.1396103896103897,0.181168116796866,AlcoR,lcr,fcr,0.181168116796866
ncRNA,196,0.2345301757066463,0.25032864400967053,0.10501029432719994,0.1790768194070081,0.3043478260869565,0.1252710066799484,0.181168116796866,AlcoR,lcr,fcr,0.181168116796866
pre-rRNA,133,0.2777777777777778,0.28272938594692426,0.13760586437982147,0.2040816326530612,0.35,0.14591836734693878,0.181168116796866,AlcoR,lcr,fcr,0.181168116796866
ribosomal protein,98,0.25,0.2610227710600388,0.1170774351432492,0.19521604938271603,0.3181818181818182,0.12296576879910215,0.181168116796866,AlcoR,lcr,fcr,0.181168116796866
snRNA,87,0.2682926829268293,0.26556446060440586,0.11280873516305404,0.19600271002710024,0.31348960636886336,0.11748689634176313,0.181168116796866,AlcoR,lcr,fcr,0.181168116796866
snoRNA,60,0.24191566009747828,0.265314514315138,0.13840828275821127,0.16447368421052636,0.35399159663865554,0.18951791242812918,0.181168116796866,AlcoR,lcr,fcr,0.181168116796866
tRNA,245,0.25,0.2665174853600061,0.10441741059715233,0.2,0.3157894736842105,0.1157894736842105,0.181168116796866,AlcoR,lcr,fcr,0.181168116796866
unknown,885,0.2583025830258303,0.2613830616541729,0.11743594038325537,0.2,0.3157894736842105,0.1157894736842105,0.181168116796866,AlcoR,lcr,fcr,0.181168116796866
diverse,60,0.0,0.02483229183674469,0.10637151451297841,-0.029909026465028358,0.06354166666666666,0.09345069313169502,1.9685040120841017e-09,AlcoR,lcr,ncpr,7.874016048336407e-09
mRNA,1040,0.0,0.003577115741888806,0.1254961256996116,-0.05555555555555555,0.05714285714285714,0.11269841269841269,1.9685040120841017e-09,AlcoR,lcr,ncpr,7.874016048336407e-09
ncRNA,196,0.008044517026552955,0.0170940106714245,0.12670751821239248,-0.038700925630386206,0.0776923076923077,0.11639323332269391,1.9685040120841017e-09,AlcoR,lcr,ncpr,7.874016048336407e-09
pre-rRNA,133,0.0,0.005343208943736952,0.15258339287979908,-0.05555555555555555,0.08333333333333333,0.1388888888888889,1.9685040120841017e-09,AlcoR,lcr,ncpr,7.874016048336407e-09
ribosomal protein,98,0.0822072072072072,0.09033625628995635,0.12434559833610916,0.0,0.1666666666666667,0.1666666666666667,1.9685040120841017e-09,AlcoR,lcr,ncpr,7.874016048336407e-09
snRNA,87,0.0,0.006741470890626602,0.12372779706461054,-0.07172053231939163,0.06110074626865672,0.13282127858804835,1.9685040120841017e-09,AlcoR,lcr,ncpr,7.874016048336407e-09
snoRNA,60,0.0,-0.02092643607273825,0.13650878263866295,-0.0860248447204969,0.03776683087027914,0.12379167559077604,1.9685040120841017e-09,AlcoR,lcr,ncpr,7.874016048336407e-09
tRNA,245,0.0,0.006095448304616856,0.11627237771923037,-0.05147058823529412,0.0625,0.11397058823529413,1.9685040120841017e-09,AlcoR,lcr,ncpr,7.874016048336407e-09
unknown,885,0.0,-0.0002612431627593835,0.12885533592421783,-0.05172413793103448,0.0625,0.11422413793103448,1.9685040120841017e-09,AlcoR,lcr,ncpr,7.874016048336407e-09
diverse,60,0.13451111787998782,0.15299046800051216,0.08928869930572088,0.09668272455637539,0.190625,0.0939422754436246,0.00209645637769168,AlcoR,lcr,frac_GS,0.0027952751702555734
mRNA,1040,0.14092998107596644,0.15521271916771381,0.10431252925371388,0.09090909090909091,0.19588505747126433,0.10497596656217342,0.00209645637769168,AlcoR,lcr,frac_GS,0.0027952751702555734
ncRNA,196,0.1304347826086956,0.1303143560230447,0.07906445732880789,0.07142857142857142,0.1746543919745535,0.10322582054598209,0.00209645637769168,AlcoR,lcr,frac_GS,0.0027952751702555734
pre-rRNA,133,0.14,0.13767507194048292,0.08038766134521402,0.08333333333333333,0.1764705882352941,0.09313725490196077,0.00209645637769168,AlcoR,lcr,frac_GS,0.0027952751702555734
ribosomal protein,98,0.11,0.11884119834474544,0.07693142501523734,0.08164414414414414,0.1482142857142857,0.06657014157014154,0.00209645637769168,AlcoR,lcr,frac_GS,0.0027952751702555734
snRNA,87,0.1304347826086956,0.13988353574401244,0.07549128015895855,0.08333333333333333,0.18754578754578755,0.10421245421245422,0.00209645637769168,AlcoR,lcr,frac_GS,0.0027952751702555734
snoRNA,60,0.1361296963458569,0.1400458940119607,0.07970213482719249,0.07692307692307693,0.17488687782805434,0.09796380090497742,0.00209645637769168,AlcoR,lcr,frac_GS,0.0027952751702555734
tRNA,245,0.125,0.12965877338026563,0.0723948778615771,0.08196721311475409,0.1666666666666667,0.08469945355191262,0.00209645637769168,AlcoR,lcr,frac_GS,0.0027952751702555734
unknown,885,0.1333333333333333,0.14354500866111108,0.09011864800774291,0.09090909090909091,0.1764705882352941,0.08556149732620319,0.00209645637769168,AlcoR,lcr,frac_GS,0.0027952751702555734
