rna_class,n,median,mean,sd,q1,q3,iqr,p_value,method,level,metric,p_fdr
ribosomal protein,98,0.0833333333333333,0.0853432573850412,0.0735850634544072,0.0238521168753726,0.125,0.1011478831246273,2.627154315952279e-05,AlcoR,lcr,frac_negative,6.30517035828547e-05
snRNA,87,0.1238095238095238,0.1294114948568896,0.0739452903609636,0.0775240384615384,0.1695210449927431,0.0919970065312046,2.627154315952279e-05,AlcoR,lcr,frac_negative,6.30517035828547e-05
snoRNA,60,0.1203619909502262,0.1431204751939381,0.1030387195056819,0.0792307692307692,0.1745524296675192,0.0953216604367499,2.627154315952279e-05,AlcoR,lcr,frac_negative,6.30517035828547e-05
tRNA,245,0.1204819277108434,0.1302110185276946,0.0785057635114967,0.081081081081081,0.1666666666666667,0.0855855855855856,2.627154315952279e-05,AlcoR,lcr,frac_negative,6.30517035828547e-05
unknown,885,0.119047619047619,0.1308221524084661,0.0957532025241987,0.0769230769230769,0.1666666666666667,0.0897435897435897,2.627154315952279e-05,AlcoR,lcr,frac_negative,6.30517035828547e-05
diverse,60,0.249223602484472,0.2497207004968895,0.0847625896543507,0.1973790322580645,0.3139204545454545,0.11654142228739,0.181168116796866,AlcoR,lcr,fcr,0.181168116796866
mRNA,1040,0.25,0.2560779042251155,0.1239373089061273,0.1818181818181818,0.3214285714285715,0.1396103896103897,0.181168116796866,AlcoR,lcr,fcr,0.181168116796866
ncRNA,196,0.2345301757066463,0.2503286440096705,0.1050102943271999,0.1790768194070081,0.3043478260869565,0.1252710066799484,0.181168116796866,AlcoR,lcr,fcr,0.181168116796866
pre-rRNA,133,0.2777777777777778,0.2827293859469242,0.1376058643798214,0.2040816326530612,0.35,0.1459183673469387,0.181168116796866,AlcoR,lcr,fcr,0.181168116796866
ribosomal protein,98,0.25,0.2610227710600388,0.1170774351432492,0.195216049382716,0.3181818181818182,0.1229657687991021,0.181168116796866,AlcoR,lcr,fcr,0.181168116796866
snRNA,87,0.2682926829268293,0.2655644606044058,0.112808735163054,0.1960027100271002,0.3134896063688633,0.1174868963417631,0.181168116796866,AlcoR,lcr,fcr,0.181168116796866
