rna_class,n,median,mean,sd,q1,q3,iqr,p_value,method,metric,level,p_fdr
snoRNA,1,0.0127118644067796,0.0127118644067796,,0.0127118644067796,0.0127118644067796,0.0,0.219494498194032,AlcoR,property_fraction__hydrophobic_region,protein,0.219494498194032
tRNA,14,0.0279320907533357,0.0326877326865582,0.0207838735094701,0.0153538459185156,0.040199856312455,0.0248460103939394,0.219494498194032,AlcoR,property_fraction__hydrophobic_region,protein,0.219494498194032
unknown,18,0.0151934805720086,0.0282281960568595,0.0300714233198979,0.0068273829364113,0.036884010108552,0.0300566271721407,0.219494498194032,AlcoR,property_fraction__hydrophobic_region,protein,0.219494498194032
diverse,6,0.1105309335692971,0.2383706586438443,0.3784823846219406,0.036217156113795,0.1657424211870672,0.1295252650732722,0.1523302928694418,AlcoR,property_fraction__mixed_charge_polyampholyte,protein,0.169467450817254
mRNA,70,0.1180911615259646,0.200425461113388,0.2301575960293932,0.0347702894150981,0.2781790015709547,0.2434087121558566,0.1523302928694418,AlcoR,property_fraction__mixed_charge_polyampholyte,protein,0.169467450817254
ncRNA,15,0.0482093663911845,0.1072952705458109,0.1553916004404491,0.0229425045240263,0.1048935897814675,0.0819510852574412,0.1523302928694418,AlcoR,property_fraction__mixed_charge_polyampholyte,protein,0.169467450817254
pre-rRNA,11,0.1293916023993145,0.3265771144920894,0.3703832185214473,0.0790980392156862,0.4822034471486061,0.4031054079329198,0.1523302928694418,AlcoR,property_fraction__mixed_charge_polyampholyte,protein,0.169467450817254
ribosomal protein,5,0.1325301204819277,0.3180916420008826,0.2858477611119641,0.1234042553191489,0.4929577464788732,0.3695534911597243,0.1523302928694418,AlcoR,property_fraction__mixed_charge_polyampholyte,protein,0.169467450817254
snRNA,6,0.1637409851158508,0.2572883081132934,0.2802650584019134,0.0612275564460198,0.3430480844249168,0.2818205279788969,0.1523302928694418,AlcoR,property_fraction__mixed_charge_polyampholyte,protein,0.169467450817254
snoRNA,4,0.0982117821367455,0.1036770053070479,0.0911144750766031,0.0404215416413516,0.1614672458024418,0.1210457041610902,0.1523302928694418,AlcoR,property_fraction__mixed_charge_polyampholyte,protein,0.169467450817254
tRNA,20,0.0580793619175671,0.1354879754083678,0.2243495750088065,0.0270515772453051,0.1488147788470027,0.1217632016016976,0.1523302928694418,AlcoR,property_fraction__mixed_charge_polyampholyte,protein,0.169467450817254
unknown,55,0.0736994219653179,0.1745394293855942,0.2161975899274075,0.0271603221392509,0.2732092808229073,0.2460489586836563,0.1523302928694418,AlcoR,property_fraction__mixed_charge_polyampholyte,protein,0.169467450817254
diverse,3,0.0404761904761904,0.1839087384379176,0.2757015873756233,0.0249838579499596,0.271117344945012,0.2461334869950524,0.0076718909071519,AlcoR,property_fraction__other,protein,0.0189666191871256
mRNA,104,0.2609013306687725,0.3600811538123109,0.350003904921318,0.0468013468013468,0.6033358833295355,0.5565345365281886,0.0076718909071519,AlcoR,property_fraction__other,protein,0.0189666191871256
ncRNA,11,0.0376855728968405,0.096781520373477,0.1425107004316091,0.0158882698520113,0.0905476673427991,0.0746593974907878,0.0076718909071519,AlcoR,property_fraction__other,protein,0.0189666191871256
pre-rRNA,7,0.0343642611683848,0.316189610991712,0.4085563262982226,0.018834005376344,0.5666844906214201,0.5478504852450761,0.0076718909071519,AlcoR,property_fraction__other,protein,0.0189666191871256
ribosomal protein,9,0.4444444444444444,0.4327009528883528,0.3859339082481691,0.0985221674876847,0.5858585858585859,0.4873364183709011,0.0076718909071519,AlcoR,property_fraction__other,protein,0.0189666191871256
snRNA,8,0.2644230769230768,0.3700449336744058,0.3817370873924917,0.1138051084270571,0.4405288365084582,0.3267237280814011,0.0076718909071519,AlcoR,property_fraction__other,protein,0.0189666191871256
snoRNA,2,0.0495107323232323,0.0495107323232323,0.0214051579279639,0.0419428661616161,0.0570785984848484,0.0151357323232323,0.0076718909071519,AlcoR,property_fraction__other,protein,0.0189666191871256
tRNA,7,0.045662100456621,0.0486318579596118,0.03472254490179,0.0237841714915296,0.06780671332136,0.0440225418298303,0.0076718909071519,AlcoR,property_fraction__other,protein,0.0189666191871256
unknown,63,0.0933333333333333,0.2282044604828029,0.3001945587185436,0.0234128403805831,0.2996604711400469,0.2762476307594637,0.0076718909071519,AlcoR,property_fraction__other,protein,0.0189666191871256
diverse,7,0.060200668896321,0.0693433003547911,0.0514186290459194,0.0341740301417897,0.1018143649722597,0.06764033483047,0.0001005109927958,AlcoR,property_fraction__unmapped_physicochemical_properties,protein,0.0009939420398697
mRNA,65,0.0380952380952381,0.0511779919856794,0.0420102575578547,0.0207684319833852,0.0638670166229221,0.0430985846395368,0.0001005109927958,AlcoR,property_fraction__unmapped_physicochemical_properties,protein,0.0009939420398697
ncRNA,11,0.0224260958205912,0.0308103782675404,0.0230278888573995,0.0137311324456535,0.0413651596181823,0.0276340271725287,0.0001005109927958,AlcoR,property_fraction__unmapped_physicochemical_properties,protein,0.0009939420398697
pre-rRNA,12,0.0312711794466521,0.0386879359867921,0.0289136414197098,0.0190378269881355,0.045384987113402,0.0263471601252665,0.0001005109927958,AlcoR,property_fraction__unmapped_physicochemical_properties,protein,0.0009939420398697
ribosomal protein,7,0.1201923076923077,0.164008720602798,0.0991727244783561,0.1136826441102756,0.2079814538830932,0.0942988097728175,0.0001005109927958,AlcoR,property_fraction__unmapped_physicochemical_properties,protein,0.0009939420398697
snRNA,6,0.0337341784764175,0.0531997334956998,0.049288796386381,0.0180442091380628,0.0872655934828156,0.0692213843447527,0.0001005109927958,AlcoR,property_fraction__unmapped_physicochemical_properties,protein,0.0009939420398697
snoRNA,1,0.0222772277227722,0.0222772277227722,,0.0222772277227722,0.0222772277227722,0.0,0.0001005109927958,AlcoR,property_fraction__unmapped_physicochemical_properties,protein,0.0009939420398697
tRNA,17,0.0581395348837209,0.0702480928286747,0.0472324449314709,0.0373443983402489,0.099601593625498,0.062257195285249,0.0001005109927958,AlcoR,property_fraction__unmapped_physicochemical_properties,protein,0.0009939420398697
unknown,63,0.023876404494382,0.0350010164500875,0.0314094150437907,0.0148592283628779,0.0410534719254247,0.0261942435625467,0.0001005109927958,AlcoR,property_fraction__unmapped_physicochemical_properties,protein,0.0009939420398697
diverse,15,0.2567409144196952,0.3216524580230499,0.2529050684139105,0.1244843619063066,0.5010516617994716,0.3765672998931649,6.89186484591315e-07,CAST,coverage,protein,6.585559741650343e-06
mRNA,487,0.33,0.3728067213848869,0.254012330220955,0.1780939054726368,0.5176622753006963,0.3395683698280595,6.89186484591315e-07,CAST,coverage,protein,6.585559741650343e-06
ncRNA,69,0.1959247648902821,0.2814601728357179,0.2460917689494061,0.1004366812227074,0.4206500956022944,0.320213414379587,6.89186484591315e-07,CAST,coverage,protein,6.585559741650343e-06
pre-rRNA,82,0.2856800766283525,0.3392103362902094,0.2379421979859745,0.1583837924514755,0.4761316689554729,0.3177478765039974,6.89186484591315e-07,CAST,coverage,protein,6.585559741650343e-06
ribosomal protein,46,0.2693994601889339,0.3595512056329117,0.2568701805781088,0.1871532642196693,0.4666317443687794,0.2794784801491101,6.89186484591315e-07,CAST,coverage,protein,6.585559741650343e-06
snRNA,60,0.320741274415626,0.3444527501972594,0.2268566278747605,0.1508375429569397,0.5061244401443666,0.3552868971874269,6.89186484591315e-07,CAST,coverage,protein,6.585559741650343e-06
snoRNA,29,0.2703213610586011,0.3852699604738088,0.2871940824065337,0.2057044079515989,0.5326370757180157,0.3269326677664167,6.89186484591315e-07,CAST,coverage,protein,6.585559741650343e-06
tRNA,51,0.1422222222222222,0.1708945472670487,0.128326128668251,0.0740360610263523,0.2189032339180899,0.1448671728917376,6.89186484591315e-07,CAST,coverage,protein,6.585559741650343e-06
unknown,216,0.3176593521421108,0.335559409456943,0.2365277920229823,0.1443473465359732,0.4797719062915505,0.3354245597555771,6.89186484591315e-07,CAST,coverage,protein,6.585559741650343e-06
diverse,4,0.1046178626270761,0.1348146887809444,0.1273867797402693,0.0578776822586157,0.1815548691494048,0.123677186890789,0.0544676320497172,CAST,property_fraction__acidic_region,protein,0.1040936968061261
mRNA,112,0.1232986373814491,0.153788400917917,0.126419747834688,0.0583042260945108,0.2193101489522848,0.161005922857774,0.0544676320497172,CAST,property_fraction__acidic_region,protein,0.1040936968061261
ncRNA,20,0.0663870757523203,0.0886543705536978,0.0835344620249868,0.0255833860460531,0.1320744761417614,0.1064910900957083,0.0544676320497172,CAST,property_fraction__acidic_region,protein,0.1040936968061261
pre-rRNA,32,0.1414944526706581,0.1729659763087636,0.1125615889957053,0.0990359633529331,0.2150748222239587,0.1160388588710256,0.0544676320497172,CAST,property_fraction__acidic_region,protein,0.1040936968061261
ribosomal protein,4,0.1615942028985507,0.1562676685275633,0.0919241541729493,0.1270723977419035,0.1907894736842105,0.0637170759423069,0.0544676320497172,CAST,property_fraction__acidic_region,protein,0.1040936968061261
snRNA,22,0.090378875276969,0.1042891271089577,0.0907881547659095,0.0281895554219464,0.1449844733003409,0.1167949178783945,0.0544676320497172,CAST,property_fraction__acidic_region,protein,0.1040936968061261
snoRNA,12,0.1144722888876486,0.1854048684585102,0.1845955767192216,0.0484987175090658,0.2670939304894112,0.2185952129803454,0.0544676320497172,CAST,property_fraction__acidic_region,protein,0.1040936968061261
tRNA,13,0.1051912568306011,0.1340059481852676,0.1105419187885333,0.0747330960854092,0.1690140845070422,0.094280988421633,0.0544676320497172,CAST,property_fraction__acidic_region,protein,0.1040936968061261
unknown,64,0.0860450725198649,0.1344521494980877,0.143805151916465,0.0499963123395202,0.155141226801854,0.1051449144623338,0.0544676320497172,CAST,property_fraction__acidic_region,protein,0.1040936968061261
diverse,2,0.0723945153737782,0.0723945153737782,0.0799992619988081,0.04411050504914,0.1006785256984165,0.0565680206492764,0.1294919856909217,CAST,property_fraction__aromatic_sticker_region,protein,0.2062279772114679
mRNA,106,0.142363154087292,0.2090591488447876,0.1677043062625263,0.086915624709555,0.2930271845661818,0.2061115598566268,0.1294919856909217,CAST,property_fraction__aromatic_sticker_region,protein,0.2062279772114679
ncRNA,14,0.1090398227697627,0.1517085656636599,0.1511016561045858,0.0839192550568044,0.1714467479979043,0.0875274929410999,0.1294919856909217,CAST,property_fraction__aromatic_sticker_region,protein,0.2062279772114679
