rna_class,n,median,mean,sd,q1,q3,iqr,p_value,method,level,metric,p_fdr
diverse,19,0.04761904761904762,0.057187799559557995,0.06660828846592518,0.0,0.08571428571428572,0.08571428571428572,1.414702546209436e-23,SEG_intermediate,lcr,frac_negative,8.488215277256616e-23
mRNA,719,0.03225806451612903,0.12497517403982007,0.201974112719476,0.0,0.14104882459312834,0.14104882459312834,1.414702546209436e-23,SEG_intermediate,lcr,frac_negative,8.488215277256616e-23
ncRNA,69,0.1,0.22595090881255053,0.2594292664749256,0.0,0.4528301886792453,0.4528301886792453,1.414702546209436e-23,SEG_intermediate,lcr,frac_negative,8.488215277256616e-23
pre-rRNA,66,0.5075757575757576,0.47948627053107196,0.26385963049394373,0.30208333333333337,0.6460084033613446,0.3439250700280112,1.414702546209436e-23,SEG_intermediate,lcr,frac_negative,8.488215277256616e-23
ribosomal protein,18,0.04483430799220273,0.08385606166017302,0.14816639913364513,0.0,0.06839080459770115,0.06839080459770115,1.414702546209436e-23,SEG_intermediate,lcr,frac_negative,8.488215277256616e-23
snRNA,77,0.07142857142857142,0.14899170489875263,0.19214089137311596,0.0,0.25,0.25,1.414702546209436e-23,SEG_intermediate,lcr,frac_negative,8.488215277256616e-23
snoRNA,38,0.27188940092165903,0.31500189473957435,0.2801793983349838,0.04922077922077922,0.4650101419878296,0.41578936276705036,1.414702546209436e-23,SEG_intermediate,lcr,frac_negative,8.488215277256616e-23
tRNA,23,0.2272727272727273,0.25166832679582124,0.22955658176538674,0.060123784261715295,0.3579365079365079,0.2978127236747926,1.414702546209436e-23,SEG_intermediate,lcr,frac_negative,8.488215277256616e-23
unknown,278,0.05064102564102564,0.1862379603595197,0.2479533898494411,0.0,0.31890715667311414,0.31890715667311414,1.414702546209436e-23,SEG_intermediate,lcr,frac_negative,8.488215277256616e-23
diverse,19,0.07692307692307693,0.11887046136674831,0.14539896581788658,0.04380952380952381,0.14791288566243194,0.10410336185290812,5.256850177021846e-16,SEG_intermediate,lcr,fcr,1.577055053106554e-15
mRNA,719,0.225,0.2933421146657363,0.2748529535289784,0.04,0.5,0.46,5.256850177021846e-16,SEG_intermediate,lcr,fcr,1.577055053106554e-15
ncRNA,69,0.2439024390243902,0.3457567610202543,0.28804994998446143,0.05555555555555555,0.6206896551724138,0.5651340996168582,5.256850177021846e-16,SEG_intermediate,lcr,fcr,1.577055053106554e-15
pre-rRNA,66,0.5691287878787878,0.5839169380102911,0.19598549695492407,0.45629370629370625,0.6976190476190476,0.24132534132534134,5.256850177021846e-16,SEG_intermediate,lcr,fcr,1.577055053106554e-15
ribosomal protein,18,0.4210950080515298,0.3756847631647222,0.2406636195069471,0.22956730769230774,0.525,0.2954326923076923,5.256850177021846e-16,SEG_intermediate,lcr,fcr,1.577055053106554e-15
snRNA,77,0.3703703703703703,0.3792139348690696,0.30921134580815657,0.0625,0.6875,0.625,5.256850177021846e-16,SEG_intermediate,lcr,fcr,1.577055053106554e-15
snoRNA,38,0.5,0.48045633454040954,0.2556327571830465,0.24493243243243248,0.6766666666666667,0.4317342342342343,5.256850177021846e-16,SEG_intermediate,lcr,fcr,1.577055053106554e-15
tRNA,23,0.4705882352941176,0.43653245805090735,0.2794319755164944,0.15416666666666665,0.6818181818181818,0.5276515151515151,5.256850177021846e-16,SEG_intermediate,lcr,fcr,1.577055053106554e-15
unknown,278,0.23226773226773229,0.32586043224811684,0.2985284562114834,0.042559706062461726,0.6,0.5574402939375382,5.256850177021846e-16,SEG_intermediate,lcr,fcr,1.577055053106554e-15
diverse,19,0.0,0.004494862247632327,0.09140123614658088,-0.00909090909090909,0.04380952380952381,0.052900432900432906,1.1996271798531673e-19,SEG_intermediate,lcr,ncpr,4.798508719412669e-19
mRNA,719,0.0303030303030303,0.04339176658609614,0.2680531462559817,0.0,0.2083333333333333,0.2083333333333333,1.1996271798531673e-19,SEG_intermediate,lcr,ncpr,4.798508719412669e-19
ncRNA,69,0.0,-0.10614505660484672,0.3379871605495349,-0.35,0.06060606060606061,0.4106060606060606,1.1996271798531673e-19,SEG_intermediate,lcr,ncpr,4.798508719412669e-19
pre-rRNA,66,-0.5,-0.3750556030518529,0.4164003194107969,-0.6310916179337231,-0.2589285714285714,0.37216304650515175,1.1996271798531673e-19,SEG_intermediate,lcr,ncpr,4.798508719412669e-19
ribosomal protein,18,0.2595785440613027,0.2079726398443762,0.25772222878931517,0.0,0.4,0.4,1.1996271798531673e-19,SEG_intermediate,lcr,ncpr,4.798508719412669e-19
