rna_class,n,median,mean,sd,q1,q3,iqr,p_value,method,metric,level,p_fdr
ncRNA,4,0.019831751216358752,0.019801029970072256,0.009790141934710908,0.015006188118811882,0.024626593067619124,0.009620404948807242,0.012468533139172473,SEG_intermediate,property_fraction__basic_enriched_region,protein,0.02461736030041745
pre-rRNA,5,0.028186274509803922,0.027822923512810748,0.010888311915301365,0.023521505376344086,0.03064066852367688,0.007119163147332793,0.012468533139172473,SEG_intermediate,property_fraction__basic_enriched_region,protein,0.02461736030041745
ribosomal protein,4,0.13442337232659812,0.15348195643356935,0.08847173259083434,0.08248225183709054,0.20542307692307693,0.12294082508598639,0.012468533139172473,SEG_intermediate,property_fraction__basic_enriched_region,protein,0.02461736030041745
snRNA,5,0.04369414101290963,0.08239864674698819,0.07655256814306066,0.02616279069767442,0.135678391959799,0.10951560126212458,0.012468533139172473,SEG_intermediate,property_fraction__basic_enriched_region,protein,0.02461736030041745
snoRNA,3,0.04158790170132325,0.03826388112725949,0.010493321252456951,0.03404951818894371,0.044140254352607156,0.010090736163663447,0.012468533139172473,SEG_intermediate,property_fraction__basic_enriched_region,protein,0.02461736030041745
tRNA,5,0.0195578231292517,0.02995931725379563,0.026595060866037315,0.01455026455026455,0.02459016393442623,0.01003989938416168,0.012468533139172473,SEG_intermediate,property_fraction__basic_enriched_region,protein,0.02461736030041745
unknown,16,0.017487995343648446,0.0269507961931646,0.02152314208409265,0.013016185783608593,0.03405112128672562,0.021034935503117025,0.012468533139172473,SEG_intermediate,property_fraction__basic_enriched_region,protein,0.02461736030041745
diverse,5,0.11029411764705882,0.08278806986969361,0.05875761754136498,0.03336809176225235,0.12121212121212122,0.08784402944986887,0.002392016453804155,SEG_intermediate,property_fraction__disorder_rich_spacer_region,protein,0.008008055084474781
mRNA,146,0.047007783749657334,0.060940694465670235,0.05163415588484159,0.028312170908293112,0.07395642578766963,0.04564425487937652,0.002392016453804155,SEG_intermediate,property_fraction__disorder_rich_spacer_region,protein,0.008008055084474781
ncRNA,14,0.05434871543118966,0.07560217484357443,0.06927937108831328,0.02001615672872768,0.11226572291342989,0.0922495661847022,0.002392016453804155,SEG_intermediate,property_fraction__disorder_rich_spacer_region,protein,0.008008055084474781
pre-rRNA,3,0.05300859598853868,0.06335807768472525,0.029392200593554515,0.046774568264539615,0.0747668462568176,0.027992277992277992,0.002392016453804155,SEG_intermediate,property_fraction__disorder_rich_spacer_region,protein,0.008008055084474781
ribosomal protein,4,0.2047327621379029,0.18749187825726582,0.07234406502463929,0.15812853055535178,0.23409610983981693,0.07596757928446515,0.002392016453804155,SEG_intermediate,property_fraction__disorder_rich_spacer_region,protein,0.008008055084474781
snRNA,16,0.0408177625521204,0.11939242690463031,0.1435827948656584,0.027495272010300983,0.15480033245708985,0.12730506044678885,0.002392016453804155,SEG_intermediate,property_fraction__disorder_rich_spacer_region,protein,0.008008055084474781
snoRNA,4,0.07263784114408878,0.06651738093856799,0.035287662809212444,0.0449527586228338,0.09420246345982297,0.04924970483698917,0.002392016453804155,SEG_intermediate,property_fraction__disorder_rich_spacer_region,protein,0.008008055084474781
tRNA,6,0.07147620690858475,0.09242857697557494,0.06194596532892146,0.05343630177574873,0.1479288470775295,0.09449254530178078,0.002392016453804155,SEG_intermediate,property_fraction__disorder_rich_spacer_region,protein,0.008008055084474781
unknown,53,0.030463576158940398,0.04425129344754688,0.0494159757117653,0.021052631578947368,0.05178268251273345,0.03073005093378608,0.002392016453804155,SEG_intermediate,property_fraction__disorder_rich_spacer_region,protein,0.008008055084474781
diverse,1,0.036616161616161616,0.036616161616161616,,0.036616161616161616,0.036616161616161616,0.0,0.06147733425179518,SEG_intermediate,property_fraction__gs_rich_neutral_region,protein,0.08226454295825217
mRNA,49,0.053208137715179966,0.08619341875733005,0.08592992811515839,0.031914893617021274,0.08963093145869948,0.057716037841678204,0.06147733425179518,SEG_intermediate,property_fraction__gs_rich_neutral_region,protein,0.08226454295825217
