rna_class,n,median,mean,sd,q1,q3,iqr,p_value,method,metric,level,p_fdr
tRNA,2,0.01681770233985424,0.01681770233985424,0.013714264144129195,0.0119689777522056,0.021666426927502876,0.009697449175297275,0.2068725558584094,LCRFinder,property_fraction__gs_rich_neutral_region,protein,0.21734711564870862
unknown,45,0.01056338028169014,0.020073661408300813,0.027675791490889938,0.004953560371517028,0.02455661664392906,0.01960305627241203,0.2068725558584094,LCRFinder,property_fraction__gs_rich_neutral_region,protein,0.21734711564870862
diverse,13,0.02564102564102564,0.025135414479541554,0.015274547916181672,0.010845986984815618,0.03896103896103896,0.02811505197622334,0.0018279100862990789,LCRFinder,property_fraction__hydrophobic_region,protein,0.0024081990025845005
mRNA,138,0.009490037149611618,0.011916391310795027,0.010106101139184713,0.0052922776148582595,0.015999002171743854,0.010706724556885594,0.0018279100862990789,LCRFinder,property_fraction__hydrophobic_region,protein,0.0024081990025845005
ncRNA,25,0.005275498241500586,0.00971829061945089,0.00904668951972548,0.004492362982929021,0.013777267508610792,0.00928490452568177,0.0018279100862990789,LCRFinder,property_fraction__hydrophobic_region,protein,0.0024081990025845005
pre-rRNA,14,0.010378192905493997,0.01002225398536784,0.0048488179457657704,0.0056796765793571645,0.014366319444444445,0.008686642865087281,0.0018279100862990789,LCRFinder,property_fraction__hydrophobic_region,protein,0.0024081990025845005
ribosomal protein,1,0.03260869565217391,0.03260869565217391,,0.03260869565217391,0.03260869565217391,0.0,0.0018279100862990789,LCRFinder,property_fraction__hydrophobic_region,protein,0.0024081990025845005
snRNA,18,0.0057467469764171265,0.0087407456274558,0.008127377337950348,0.00450739345927697,0.010692376705367459,0.006184983246090489,0.0018279100862990789,LCRFinder,property_fraction__hydrophobic_region,protein,0.0024081990025845005
snoRNA,6,0.006081319253934927,0.008588025405435977,0.009971851440056599,0.0030118713349041332,0.006879410415279424,0.003867539080375291,0.0018279100862990789,LCRFinder,property_fraction__hydrophobic_region,protein,0.0024081990025845005
tRNA,16,0.011287929710960588,0.01409626094194152,0.010384964667578525,0.004126254794697497,0.019173264824797843,0.015047010030100345,0.0018279100862990789,LCRFinder,property_fraction__hydrophobic_region,protein,0.0024081990025845005
unknown,82,0.0067242230268140055,0.010925084616951148,0.013735121401374159,0.004324148478626412,0.010780444587628866,0.006456296109002454,0.0018279100862990789,LCRFinder,property_fraction__hydrophobic_region,protein,0.0024081990025845005
diverse,5,0.0070921985815602835,0.009478537500021885,0.005406781304963733,0.006313131313131313,0.008741258741258742,0.002428127428127429,0.0003674150540814342,LCRFinder,property_fraction__other,protein,0.0006776766553057565
