rna_class,n,median,mean,sd,q1,q3,iqr,p_value,method,metric,level,p_fdr
snoRNA,7,0.19014084507042253,0.4304547598942215,0.3823867384426193,0.1437929309011509,0.7338326621527931,0.5900397312516422,0.6890222453599187,CAST,property_fraction__mixed_charge_polyampholyte,protein,0.6890222453599187
tRNA,5,0.16688144329896906,0.21311401555702242,0.179816207234736,0.15560640732265446,0.1712962962962963,0.015689888973641847,0.6890222453599187,CAST,property_fraction__mixed_charge_polyampholyte,protein,0.6890222453599187
unknown,38,0.16089309683210223,0.23180574531026887,0.19055574356279315,0.105293371902007,0.3549934938191282,0.2497001219171212,0.6890222453599187,CAST,property_fraction__mixed_charge_polyampholyte,protein,0.6890222453599187
diverse,3,0.053180396246089674,0.05142536230703414,0.02012466585254991,0.04183052637626875,0.0618977152073273,0.020067188831058548,0.00012976681510298843,CAST,property_fraction__other,protein,0.0006199970054920558
mRNA,98,0.1704254728394164,0.2837016500009326,0.28344335244139485,0.07008527016394837,0.38491362577639754,0.31482835561244915,0.00012976681510298843,CAST,property_fraction__other,protein,0.0006199970054920558
ncRNA,10,0.060862053198160536,0.07414272629025043,0.07702281724951711,0.021519110188647828,0.08238188976377953,0.0608627795751317,0.00012976681510298843,CAST,property_fraction__other,protein,0.0006199970054920558
pre-rRNA,18,0.11892542101042501,0.1801021880062222,0.1414604151743461,0.0750560497330532,0.25091609854353886,0.17586004881048567,0.00012976681510298843,CAST,property_fraction__other,protein,0.0006199970054920558
ribosomal protein,16,0.4006151337730675,0.45622609313037105,0.30086594702690356,0.22090356304672498,0.6988378684807257,0.47793430543400073,0.00012976681510298843,CAST,property_fraction__other,protein,0.0006199970054920558
snRNA,10,0.2062029608799934,0.2526609225869479,0.21422815501235587,0.13740019301328332,0.2830542288857989,0.14565403587251557,0.00012976681510298843,CAST,property_fraction__other,protein,0.0006199970054920558
snoRNA,5,0.2245508982035928,0.2485431282835302,0.19590483565337108,0.07042253521126761,0.34831460674157305,0.27789207153030543,0.00012976681510298843,CAST,property_fraction__other,protein,0.0006199970054920558
tRNA,6,0.20925541555821908,0.19336318904120772,0.1260720925411696,0.11452475057893546,0.2297257250301457,0.11520097445121025,0.00012976681510298843,CAST,property_fraction__other,protein,0.0006199970054920558
unknown,46,0.09283627643339873,0.16771677835822268,0.18460574751907793,0.03930551323656006,0.2666400729427855,0.22733455970622546,0.00012976681510298843,CAST,property_fraction__other,protein,0.0006199970054920558
diverse,1,0.07132564841498559,0.07132564841498559,,0.07132564841498559,0.07132564841498559,0.0,0.2492285654695791,CAST,property_fraction__sr_rs_repeat_region,protein,0.31063270478817107
mRNA,81,0.41843971631205673,0.43586254340108016,0.24135950787055008,0.25416666666666665,0.6070345664038811,0.35286789973721444,0.2492285654695791,CAST,property_fraction__sr_rs_repeat_region,protein,0.31063270478817107
ncRNA,2,0.43778726980141597,0.43778726980141597,0.02629779702903317,0.42848959449666757,0.44708494510616437,0.018595350609496797,0.2492285654695791,CAST,property_fraction__sr_rs_repeat_region,protein,0.31063270478817107
pre-rRNA,2,0.23804175475687106,0.23804175475687106,0.20807700868161225,0.16447542283298097,0.3116080866807611,0.14713266384778015,0.2492285654695791,CAST,property_fraction__sr_rs_repeat_region,protein,0.31063270478817107
snRNA,12,0.3753439649781113,0.38037422392002274,0.1747707507936303,0.25122861060166307,0.5449275134931593,0.2936989028914962,0.2492285654695791,CAST,property_fraction__sr_rs_repeat_region,protein,0.31063270478817107
unknown,19,0.2803114571746385,0.3258087769839689,0.24606183811139098,0.11689208718584458,0.38576269554753306,0.26887060836168847,0.2492285654695791,CAST,property_fraction__sr_rs_repeat_region,protein,0.31063270478817107
