rna_class,n,median,mean,sd,q1,q3,iqr,p_value,method,level,metric,p_fdr
ribosomal protein,48,0.44473684210526315,0.4294977972890784,0.18511781766680258,0.34803921568627455,0.5501792114695341,0.20213999578325953,1.5485419176264076e-27,CAST,lcr,fcr,1.7033961093890482e-26
snRNA,109,0.425531914893617,0.37889535750265313,0.1976391516206479,0.2051282051282051,0.5172413793103449,0.3121131741821398,1.5485419176264076e-27,CAST,lcr,fcr,1.7033961093890482e-26
snoRNA,52,0.4360599078341013,0.39729369417061977,0.18332716667537352,0.25981481481481483,0.49571428571428566,0.23589947089947083,1.5485419176264076e-27,CAST,lcr,fcr,1.7033961093890482e-26
tRNA,62,0.3900928792569659,0.37283422763099555,0.1947614307746105,0.20349761526232113,0.5234133126934984,0.3199156974311773,1.5485419176264076e-27,CAST,lcr,fcr,1.7033961093890482e-26
unknown,460,0.3123865210032313,0.3111400993883563,0.18623866600598402,0.15748355263157898,0.4522429261559696,0.29475937352439063,1.5485419176264076e-27,CAST,lcr,fcr,1.7033961093890482e-26
diverse,27,0.00944767441860465,0.009241277442950719,0.15193593863219662,-0.0395010395010395,0.06401975683890578,0.10352079633994528,6.091887392112402e-09,CAST,lcr,ncpr,1.3402152262647283e-08
mRNA,879,0.0,-0.0046260985920917866,0.1692241530009149,-0.05882352941176471,0.06896551724137931,0.12778904665314403,6.091887392112402e-09,CAST,lcr,ncpr,1.3402152262647283e-08
ncRNA,124,0.0,-0.033927505942828104,0.1829805609447086,-0.08727763659466328,0.05604446503010653,0.14332210162476983,6.091887392112402e-09,CAST,lcr,ncpr,1.3402152262647283e-08
pre-rRNA,119,0.04905660377358491,-0.007570862606565986,0.2943646522091577,-0.1933929270885793,0.20017420046453455,0.39356712755311385,6.091887392112402e-09,CAST,lcr,ncpr,1.3402152262647283e-08
ribosomal protein,48,0.231810115350488,0.1785075524530404,0.22080140197895767,0.026785714285714288,0.28458646616541355,0.25780075187969925,6.091887392112402e-09,CAST,lcr,ncpr,1.3402152262647283e-08
snRNA,109,0.0,-0.006409795451148696,0.18603715852761585,-0.0967741935483871,0.08796296296296297,0.18473715651135006,6.091887392112402e-09,CAST,lcr,ncpr,1.3402152262647283e-08
snoRNA,52,0.0,-0.02726348453549575,0.23704249789883367,-0.1604761904761905,0.14376706096451314,0.30424325144070363,6.091887392112402e-09,CAST,lcr,ncpr,1.3402152262647283e-08
tRNA,62,0.0,-0.05539462922565606,0.2161872106231398,-0.08333333333333333,0.06799669785360485,0.15133003118693816,6.091887392112402e-09,CAST,lcr,ncpr,1.3402152262647283e-08
unknown,460,0.0,-0.02298489105654086,0.16408341031087997,-0.08477144324601951,0.05098845175181053,0.13575989499783003,6.091887392112402e-09,CAST,lcr,ncpr,1.3402152262647283e-08
diverse,27,0.1818181818181818,0.20524981728502525,0.15838642818724627,0.1125880281690141,0.2686174760601915,0.1560294478911774,2.0402197976459308e-17,CAST,lcr,frac_GS,7.480805924701747e-17
mRNA,879,0.1780821917808219,0.2250677096937131,0.17226009899196623,0.1091423466349017,0.2898981324278438,0.1807557857929421,2.0402197976459308e-17,CAST,lcr,frac_GS,7.480805924701747e-17
ncRNA,124,0.15550828481862966,0.18800138116981316,0.15736379338612858,0.0975609756097561,0.22956730769230774,0.13200633208255164,2.0402197976459308e-17,CAST,lcr,frac_GS,7.480805924701747e-17
pre-rRNA,119,0.1242424242424242,0.1362921524232557,0.09606663382828948,0.0847130242825607,0.16733333333333336,0.08262030905077267,2.0402197976459308e-17,CAST,lcr,frac_GS,7.480805924701747e-17
ribosomal protein,48,0.07894736842105263,0.10849741192657726,0.10352515549382063,0.056746031746031746,0.11548582995951417,0.05873979821348243,2.0402197976459308e-17,CAST,lcr,frac_GS,7.480805924701747e-17
snRNA,109,0.1304347826086956,0.16000228846859174,0.12331982779929371,0.08333333333333333,0.196969696969697,0.11363636363636366,2.0402197976459308e-17,CAST,lcr,frac_GS,7.480805924701747e-17
snoRNA,52,0.10409065782200111,0.1815322110265941,0.17993620227550766,0.08333333333333333,0.20874244712990933,0.125409113796576,2.0402197976459308e-17,CAST,lcr,frac_GS,7.480805924701747e-17
tRNA,62,0.11491048285008135,0.1569443055359619,0.14299835400635288,0.07024265644955299,0.1889328063241107,0.1186901498745577,2.0402197976459308e-17,CAST,lcr,frac_GS,7.480805924701747e-17
unknown,460,0.1538461538461539,0.18841081245286712,0.14150164136083182,0.09648164335664336,0.22904739185750642,0.13256574850086306,2.0402197976459308e-17,CAST,lcr,frac_GS,7.480805924701747e-17
