rna_class,n,median,mean,sd,q1,q3,iqr,p_value,method,metric,level,p_fdr
unknown,152,0.04082462440218354,0.08158241938518551,0.10031460700089856,0.018306922435362805,0.10257676211971599,0.08426983968435318,5.3580546045149944e-17,FLPS,property_fraction__other,protein,2.679027302257497e-16
diverse,8,0.04846066723627476,0.06689707402731943,0.06078087778186603,0.02182817182817183,0.10604687190981607,0.08421870008164424,0.0078016383312666466,FLPS,property_fraction__unmapped_physicochemical_properties,protein,0.008668487034740718
mRNA,104,0.023350164266972416,0.03231882753411359,0.02694155274127088,0.012087233465175757,0.04430449069003286,0.032217257224857104,0.0078016383312666466,FLPS,property_fraction__unmapped_physicochemical_properties,protein,0.008668487034740718
ncRNA,27,0.023947151114781174,0.02985842919193932,0.0219834659730517,0.014603054136338186,0.039565576444680076,0.024962522308341888,0.0078016383312666466,FLPS,property_fraction__unmapped_physicochemical_properties,protein,0.008668487034740718
pre-rRNA,11,0.03290676416819013,0.035958782525871584,0.032554653192670306,0.009321293138008767,0.0482891145001636,0.038967821362154834,0.0078016383312666466,FLPS,property_fraction__unmapped_physicochemical_properties,protein,0.008668487034740718
ribosomal protein,8,0.09712568710290806,0.18916499517304294,0.2478679330240237,0.06494973608538276,0.1793996960486322,0.11444995996324944,0.0078016383312666466,FLPS,property_fraction__unmapped_physicochemical_properties,protein,0.008668487034740718
snRNA,18,0.028588417703023023,0.03884144364628635,0.04127274440514311,0.016588222804161654,0.03455160336833693,0.017963380564175277,0.0078016383312666466,FLPS,property_fraction__unmapped_physicochemical_properties,protein,0.008668487034740718
snoRNA,2,0.019423018132586872,0.019423018132586872,0.0055483633784069435,0.017461375447907546,0.0213846608172662,0.003923285369358653,0.0078016383312666466,FLPS,property_fraction__unmapped_physicochemical_properties,protein,0.008668487034740718
tRNA,21,0.03557312252964427,0.03986417997067045,0.0250173579024685,0.02,0.053763440860215055,0.03376344086021506,0.0078016383312666466,FLPS,property_fraction__unmapped_physicochemical_properties,protein,0.008668487034740718
unknown,79,0.025906735751295335,0.03400525337793754,0.030199543818399212,0.011458137295814139,0.04406578014098063,0.03260764284516649,0.0078016383312666466,FLPS,property_fraction__unmapped_physicochemical_properties,protein,0.008668487034740718
