method,rna_class,metric,n,median,q1,q3,iqr,mean,sd,p_value,p_fdr
LCRFinder,ribosomal protein,fcr,52,0.475,0.0,0.8,0.8,0.4709585757379875,0.3847757827989621,2.046851975800426e-49,1.2281111854802556e-48
LCRFinder,snRNA,fcr,351,0.5,0.0,0.8,0.8,0.4488563677640393,0.3863704639108907,2.046851975800426e-49,1.2281111854802556e-48
LCRFinder,snoRNA,fcr,150,0.5,0.2109374999999999,0.8333333333333334,0.6223958333333334,0.5244793662220133,0.3523308991677434,2.046851975800426e-49,1.2281111854802556e-48
LCRFinder,tRNA,fcr,147,0.4,0.0,0.9555335968379448,0.9555335968379448,0.4408356676631377,0.4155789671207653,2.046851975800426e-49,1.2281111854802556e-48
LCRFinder,unknown,fcr,1483,0.2,0.0,0.6666666666666666,0.6666666666666666,0.3514516289949924,0.3845789147218607,2.046851975800426e-49,1.2281111854802556e-48
SEG,diverse,fcr,2,0.0697115384615384,0.0661057692307692,0.0733173076923077,0.0072115384615384,0.0697115384615384,0.0101986554978828,6.303253025789377e-06,1.8909759077368133e-05
SEG,mRNA,fcr,287,0.1379310344827586,0.0,0.4913793103448276,0.4913793103448276,0.2792274397212198,0.3167387204046469,6.303253025789377e-06,1.8909759077368133e-05
SEG,ncRNA,fcr,34,0.1188235294117646,0.0373931623931623,0.4926948051948052,0.4553016428016428,0.2653429940271299,0.3078735563848476,6.303253025789377e-06,1.8909759077368133e-05
SEG,pre-rRNA,fcr,20,0.8117647058823529,0.5542279411764706,0.887987012987013,0.3337590718105424,0.7048575178976852,0.2462009062566856,6.303253025789377e-06,1.8909759077368133e-05
SEG,ribosomal protein,fcr,4,0.2536231884057971,0.1304347826086956,0.34375,0.2133152173913043,0.2205615942028985,0.170677268993937,6.303253025789377e-06,1.8909759077368133e-05
SEG,snRNA,fcr,26,0.583916083916084,0.0416666666666666,0.7012867647058824,0.6596200980392157,0.4631267877194993,0.3425956533172311,6.303253025789377e-06,1.8909759077368133e-05
SEG,snoRNA,fcr,21,0.4285714285714285,0.2045454545454546,0.7058823529411765,0.5013368983957219,0.4480448453324493,0.3046120707316804,6.303253025789377e-06,1.8909759077368133e-05
SEG,tRNA,fcr,6,0.4791666666666666,0.1730510752688172,0.7916666666666667,0.6186155913978495,0.4831800517284388,0.3662173240485273,6.303253025789377e-06,1.8909759077368133e-05
SEG,unknown,fcr,93,0.1379310344827586,0.0,0.7058823529411765,0.7058823529411765,0.3252057710021481,0.3570175611870479,6.303253025789377e-06,1.8909759077368133e-05
SEG_intermediate,diverse,fcr,19,0.0769230769230769,0.0438095238095238,0.1479128856624319,0.1041033618529081,0.1188704613667483,0.1453989658178865,5.256850177021846e-16,1.577055053106554e-15
SEG_intermediate,mRNA,fcr,719,0.225,0.04,0.5,0.46,0.2933421146657363,0.2748529535289784,5.256850177021846e-16,1.577055053106554e-15
SEG_intermediate,ncRNA,fcr,69,0.2439024390243902,0.0555555555555555,0.6206896551724138,0.5651340996168582,0.3457567610202543,0.2880499499844614,5.256850177021846e-16,1.577055053106554e-15
SEG_intermediate,pre-rRNA,fcr,66,0.5691287878787878,0.4562937062937062,0.6976190476190476,0.2413253413253413,0.5839169380102911,0.195985496954924,5.256850177021846e-16,1.577055053106554e-15
SEG_intermediate,ribosomal protein,fcr,18,0.4210950080515298,0.2295673076923077,0.525,0.2954326923076923,0.3756847631647222,0.2406636195069471,5.256850177021846e-16,1.577055053106554e-15
SEG_intermediate,snRNA,fcr,77,0.3703703703703703,0.0625,0.6875,0.625,0.3792139348690696,0.3092113458081565,5.256850177021846e-16,1.577055053106554e-15
SEG_intermediate,snoRNA,fcr,38,0.5,0.2449324324324324,0.6766666666666667,0.4317342342342343,0.4804563345404095,0.2556327571830465,5.256850177021846e-16,1.577055053106554e-15
SEG_intermediate,tRNA,fcr,23,0.4705882352941176,0.1541666666666666,0.6818181818181818,0.5276515151515151,0.4365324580509073,0.2794319755164944,5.256850177021846e-16,1.577055053106554e-15
SEG_intermediate,unknown,fcr,278,0.2322677322677322,0.0425597060624617,0.6,0.5574402939375382,0.3258604322481168,0.2985284562114834,5.256850177021846e-16,1.577055053106554e-15
AlcoR,diverse,frac_negative,60,0.1161105493764745,0.0683908045977011,0.1538461538461539,0.0854553492484527,0.1124442043300723,0.0644054838298921,2.627154315952279e-05,6.30517035828547e-05
AlcoR,mRNA,frac_negative,1040,0.1174518479958355,0.076319705007116,0.1666666666666667,0.0903469616595506,0.1262503942416133,0.0850870949891655,2.627154315952279e-05,6.30517035828547e-05
AlcoR,ncRNA,frac_negative,196,0.1088090204369273,0.0714285714285714,0.1538461538461539,0.0824175824175824,0.116617316669123,0.077195658261727,2.627154315952279e-05,6.30517035828547e-05
AlcoR,pre-rRNA,frac_negative,133,0.1194029850746269,0.0769230769230769,0.1764705882352941,0.0995475113122171,0.1386930885015936,0.0974378397291397,2.627154315952279e-05,6.30517035828547e-05
AlcoR,ribosomal protein,frac_negative,98,0.0833333333333333,0.0238521168753726,0.125,0.1011478831246273,0.0853432573850412,0.0735850634544072,2.627154315952279e-05,6.30517035828547e-05
AlcoR,snRNA,frac_negative,87,0.1238095238095238,0.0775240384615384,0.1695210449927431,0.0919970065312046,0.1294114948568896,0.0739452903609636,2.627154315952279e-05,6.30517035828547e-05
AlcoR,snoRNA,frac_negative,60,0.1203619909502262,0.0792307692307692,0.1745524296675192,0.0953216604367499,0.1431204751939381,0.1030387195056819,2.627154315952279e-05,6.30517035828547e-05
AlcoR,tRNA,frac_negative,245,0.1204819277108434,0.081081081081081,0.1666666666666667,0.0855855855855856,0.1302110185276946,0.0785057635114967,2.627154315952279e-05,6.30517035828547e-05
AlcoR,unknown,frac_negative,885,0.119047619047619,0.0769230769230769,0.1666666666666667,0.0897435897435897,0.1308221524084661,0.0957532025241987,2.627154315952279e-05,6.30517035828547e-05
CAST,diverse,frac_negative,27,0.1267605633802817,0.0443802521008403,0.2015933987764973,0.157213146675657,0.1425084335120978,0.1310729748951427,1.4714518091761014e-13,3.531484342022643e-13
CAST,mRNA,frac_negative,879,0.1041666666666667,0.0381432987815966,0.2065899629653454,0.1684466641837488,0.1418771292226493,0.1396523808444788,1.4714518091761014e-13,3.531484342022643e-13
CAST,ncRNA,frac_negative,124,0.1306935817805383,0.072420115243583,0.2223022488252405,0.1498821335816575,0.1767696898291706,0.1543987805527007,1.4714518091761014e-13,3.531484342022643e-13
