level,method,metric,rna_class,n,median,q1,q3,iqr,mean,sd,p_value,p_fdr
lcr,SEG_intermediate,coverage_per_lcr,ncRNA,69,0.0244464944649446,0.0164383561643835,0.0438356164383561,0.0273972602739726,0.0390770531639309,0.0457118297840899,4.142961571770857e-26,4.971553886125029e-25
lcr,SEG_intermediate,coverage_per_lcr,pre-rRNA,66,0.0271923442833958,0.013434841919435,0.0514272086621656,0.0379923667427306,0.038611721580697,0.0347922353862202,4.142961571770857e-26,4.971553886125029e-25
lcr,SEG_intermediate,coverage_per_lcr,ribosomal protein,18,0.132,0.084294000494265,0.1847719141323792,0.1004779136381141,0.1799570251687958,0.2137792628578019,4.142961571770857e-26,4.971553886125029e-25
lcr,SEG_intermediate,coverage_per_lcr,snRNA,77,0.0459641255605381,0.0274122807017543,0.0949612403100775,0.0675489596083231,0.078004375262237,0.0787248829794426,4.142961571770857e-26,4.971553886125029e-25
lcr,SEG_intermediate,coverage_per_lcr,snoRNA,38,0.0426866062178932,0.0266926895288238,0.0583187372468537,0.0316260477180298,0.0638353373360584,0.072427946640166,4.142961571770857e-26,4.971553886125029e-25
lcr,SEG_intermediate,coverage_per_lcr,tRNA,23,0.0467914438502673,0.0217634756796869,0.0931930952547347,0.0714296195750478,0.0698449421963289,0.0653665208456993,4.142961571770857e-26,4.971553886125029e-25
lcr,SEG_intermediate,coverage_per_lcr,unknown,278,0.0248276334413953,0.013340174448435,0.0450013029415822,0.0316611284931471,0.0347080446547846,0.0347905413016753,4.142961571770857e-26,4.971553886125029e-25
protein,AlcoR,property_fraction__acidic_region,mRNA,50,0.0364557091429531,0.0218147728545459,0.0595350296363539,0.037720256781808,0.054790937526292,0.0614657918677627,0.0096609845599929,0.0195415369508948
protein,AlcoR,property_fraction__acidic_region,ncRNA,5,0.0174418604651162,0.0146484375,0.0468292682926829,0.0321808307926829,0.0291904843492496,0.0238765455440717,0.0096609845599929,0.0195415369508948
protein,AlcoR,property_fraction__acidic_region,pre-rRNA,10,0.0430168520762198,0.0325304459566017,0.0846569088223445,0.0521264628657428,0.1105900067712807,0.1910308399972453,0.0096609845599929,0.0195415369508948
protein,AlcoR,property_fraction__acidic_region,ribosomal protein,3,0.1983471074380165,0.1307269517772606,0.2166598925168225,0.0859329407395618,0.1654755270500499,0.0905255538621606,0.0096609845599929,0.0195415369508948
protein,AlcoR,property_fraction__acidic_region,snRNA,5,0.1186440677966101,0.0386847195357833,0.1304347826086956,0.0917500630729122,0.1182401350610778,0.1114733680319022,0.0096609845599929,0.0195415369508948
protein,AlcoR,property_fraction__acidic_region,snoRNA,7,0.0211864406779661,0.0114758499120954,0.0505376819931849,0.0390618320810894,0.0340005411841301,0.0342096774469428,0.0096609845599929,0.0195415369508948
protein,AlcoR,property_fraction__acidic_region,tRNA,12,0.021514318002516,0.0179497628927089,0.0740690218788346,0.0561192589861256,0.085964184898392,0.1683620251722047,0.0096609845599929,0.0195415369508948
protein,AlcoR,property_fraction__acidic_region,unknown,41,0.0227272727272727,0.0137931034482758,0.0411663807890223,0.0273732773407464,0.0417533326936322,0.0710077788887824,0.0096609845599929,0.0195415369508948
protein,FLPS,property_fraction__acidic_region,diverse,15,0.0227703984819734,0.0145629833129833,0.0460340332098257,0.0314710498968424,0.0316046780517872,0.0229070460402522,1.6663893278460203e-05,2.777315546410034e-05
protein,FLPS,property_fraction__acidic_region,mRNA,292,0.0410277558027974,0.0182235170148143,0.0851502824197371,0.0669267654049228,0.0644786603521538,0.0681312919724866,1.6663893278460203e-05,2.777315546410034e-05
protein,FLPS,property_fraction__acidic_region,ncRNA,44,0.0390163165586894,0.0245932194522196,0.0670025531529029,0.0424093337006833,0.0542970492982603,0.0496756616465894,1.6663893278460203e-05,2.777315546410034e-05
protein,FLPS,property_fraction__acidic_region,pre-rRNA,69,0.0763299922898997,0.0368763557483731,0.1121495327102803,0.0752731769619072,0.0836630292952782,0.063331519436046,1.6663893278460203e-05,2.777315546410034e-05
protein,FLPS,property_fraction__acidic_region,ribosomal protein,12,0.0482639208922011,0.0309855540533773,0.1066190785204412,0.0756335244670638,0.0690855622084009,0.0545814579713391,1.6663893278460203e-05,2.777315546410034e-05
protein,FLPS,property_fraction__acidic_region,snRNA,51,0.0592105263157894,0.0378731081635386,0.1104668232530828,0.0725937150895442,0.0818617770580028,0.0649652255859146,1.6663893278460203e-05,2.777315546410034e-05
protein,FLPS,property_fraction__acidic_region,snoRNA,25,0.0557377049180327,0.0247524752475247,0.1169102296450939,0.0921577543975691,0.0827492674903062,0.0734871429138554,1.6663893278460203e-05,2.777315546410034e-05
protein,FLPS,property_fraction__acidic_region,tRNA,38,0.0340075690770135,0.0160680751173708,0.0746614920841776,0.0585934169668067,0.0530146654683602,0.0480942650430453,1.6663893278460203e-05,2.777315546410034e-05
protein,FLPS,property_fraction__acidic_region,unknown,176,0.0302550517149057,0.0182412247946228,0.0602364264161787,0.0419952016215558,0.0572636012299759,0.0787156976495063,1.6663893278460203e-05,2.777315546410034e-05
protein,LCRFinder,property_fraction__acidic_region,diverse,7,0.0117233294255568,0.0058110183217989,0.0248381811288051,0.0190271628070061,0.0160257231402623,0.0127985346055434,0.0007560617078541,0.0011620948472573
protein,LCRFinder,property_fraction__acidic_region,mRNA,206,0.015044286304977,0.0085022261450541,0.0328350443951165,0.0243328182500623,0.022456356670571,0.0185746155245098,0.0007560617078541,0.0011620948472573
protein,LCRFinder,property_fraction__acidic_region,ncRNA,32,0.0151199823416264,0.0085799883000159,0.0273860739922363,0.0188060856922203,0.0215643650158318,0.0204877455449008,0.0007560617078541,0.0011620948472573
protein,LCRFinder,property_fraction__acidic_region,pre-rRNA,45,0.0256166982922201,0.0171957671957671,0.048064085447263,0.0308683182514958,0.0347048294961712,0.0261057981201281,0.0007560617078541,0.0011620948472573
protein,LCRFinder,property_fraction__acidic_region,ribosomal protein,6,0.0246203585774468,0.0169143987595572,0.0362687137082439,0.0193543149486866,0.0373877982977475,0.0344251908940118,0.0007560617078541,0.0011620948472573
protein,LCRFinder,property_fraction__acidic_region,snRNA,33,0.02,0.0109649122807017,0.0285400658616904,0.0175751535809886,0.0228377288071347,0.0165795863319261,0.0007560617078541,0.0011620948472573
protein,LCRFinder,property_fraction__acidic_region,snoRNA,22,0.019664696990518,0.0094471236287116,0.0411618942731277,0.0317147706444161,0.03607566871582,0.0401780372089786,0.0007560617078541,0.0011620948472573
protein,LCRFinder,property_fraction__acidic_region,tRNA,18,0.0118618266978922,0.0087501590938017,0.0208404897016996,0.0120903306078979,0.0179762365762742,0.0143059074220757,0.0007560617078541,0.0011620948472573
protein,LCRFinder,property_fraction__acidic_region,unknown,128,0.0137627818857871,0.0066367881933864,0.0241614892046942,0.0175247010113077,0.0190269271535848,0.0173193541756178,0.0007560617078541,0.0011620948472573
protein,SEG_intermediate,property_fraction__acidic_region,mRNA,62,0.0304271571098609,0.020060895510229,0.0643381914935864,0.0442772959833574,0.0478222004957092,0.0387985256817155,0.0101458785230146,0.0246173603004174
protein,SEG_intermediate,property_fraction__acidic_region,ncRNA,15,0.0423387096774193,0.0147669289976649,0.057387252809788,0.042620323812123,0.0394050409479844,0.0266025647559791,0.0101458785230146,0.0246173603004174
protein,SEG_intermediate,property_fraction__acidic_region,pre-rRNA,30,0.0553940568475452,0.0316271780112888,0.0779203152364273,0.0462931372251384,0.0600529551031099,0.0385853732556808,0.0101458785230146,0.0246173603004174
protein,SEG_intermediate,property_fraction__acidic_region,ribosomal protein,2,0.1023868475784886,0.0796672278894721,0.1251064672675052,0.0454392393780331,0.1023868475784886,0.0642607885923319,0.0101458785230146,0.0246173603004174
protein,SEG_intermediate,property_fraction__acidic_region,snRNA,9,0.0421607378129117,0.0272108843537414,0.0561122244488977,0.0289013400951563,0.05051632729954,0.0424284593164155,0.0101458785230146,0.0246173603004174
