method,primary_class,rna_primary_class,observed_n,class_n,method_superclass_n,method_n,observed_fraction,background_fraction,fold_enrichment,log2_fold_enrichment,abs_log2_fold
fLPS_strict,distal_terminal,snoRNA,81,3474,185,8099,0.0233160621761658,0.02284232621311273,1.020739392241983,0.029614574823013894,0.029614574823013894
fLPS_strict,distal_terminal,tRNA,115,3474,385,8099,0.03310305123776627,0.04753673292999136,0.6963678233108285,-0.5220785521831873,0.5220785521831873
fLPS_strict,distal_terminal,unknown,1147,3474,2104,8099,0.3301669545192861,0.2597851586615632,1.270923082058792,0.34587671917822393,0.34587671917822393
fLPS_strict,domain_adjacent,diverse,27,1140,176,8099,0.02368421052631579,0.02173107791085319,1.089877392344498,0.12416584563916179,0.12416584563916179
fLPS_strict,domain_adjacent,mRNA,545,1140,3504,8099,0.4780701754385965,0.4326460056797136,1.104991538492349,0.1440353221761045,0.1440353221761045
fLPS_strict,domain_adjacent,ncRNA,57,1140,603,8099,0.05,0.07445363625138907,0.671558872305141,-0.5744142156223531,0.5744142156223531
fLPS_strict,domain_adjacent,pre-rRNA,76,1140,497,8099,0.06666666666666667,0.06136560069144339,1.086384976525822,0.11953543399428986,0.11953543399428986
fLPS_strict,domain_adjacent,ribosomal protein,52,1140,204,8099,0.0456140350877193,0.0251882948512162,1.810921912624699,0.8567243382825865,0.8567243382825865
fLPS_strict,domain_adjacent,snRNA,65,1140,441,8099,0.05701754385964912,0.05445116681071737,1.04713171818435,0.0664429295839243,0.0664429295839243
fLPS_strict,domain_adjacent,snoRNA,25,1140,185,8099,0.02192982456140351,0.02284232621311273,0.9600521574205785,-0.05881530862859743,0.05881530862859743
fLPS_strict,domain_adjacent,tRNA,63,1140,385,8099,0.05526315789473684,0.04753673292999136,1.162535885167464,0.21727525003064274,0.21727525003064274
fLPS_strict,domain_adjacent,unknown,230,1140,2104,8099,0.2017543859649123,0.2597851586615632,0.7766201387499165,-0.36471897623493726,0.36471897623493726
fLPS_strict,domain_edge,diverse,16,740,176,8099,0.02162162162162162,0.02173107791085319,0.994963144963145,-0.007285007988515347,0.007285007988515347
fLPS_strict,domain_edge,mRNA,308,740,3504,8099,0.4162162162162162,0.4326460056797136,0.9620248673330866,-0.05585390825749008,0.05585390825749008
fLPS_strict,domain_edge,ncRNA,29,740,603,8099,0.03918918918918919,0.07445363625138907,0.5263569539688943,-0.9258865861237308,0.9258865861237308
fLPS_strict,domain_edge,pre-rRNA,32,740,497,8099,0.04324324324324325,0.06136560069144339,0.7046821469356681,-0.5049554309135041,0.5049554309135041
fLPS_strict,domain_edge,ribosomal protein,72,740,204,8099,0.0972972972972973,0.0251882948512162,3.862798092209857,1.9496462701195987,1.9496462701195987
fLPS_strict,domain_edge,snRNA,41,740,441,8099,0.05540540540540541,0.05445116681071737,1.017524667524668,0.025063769709345797,0.025063769709345797
fLPS_strict,domain_edge,snoRNA,14,740,185,8099,0.01891891891891892,0.02284232621311273,0.8282395909422937,-0.27187992780992604,0.27187992780992604
fLPS_strict,domain_edge,tRNA,46,740,385,8099,0.06216216216216217,0.04753673292999136,1.307665847665848,0.3869939311235315,0.3869939311235315
fLPS_strict,domain_edge,unknown,182,740,2104,8099,0.245945945945946,0.2597851586615632,0.9467282396464907,-0.07897773844482409,0.07897773844482409
fLPS_strict,domain_intrinsic,diverse,17,679,176,8099,0.02503681885125184,0.02173107791085319,1.152120431115276,0.20429152953340374,0.20429152953340374
fLPS_strict,domain_intrinsic,mRNA,245,679,3504,8099,0.3608247422680412,0.4326460056797136,0.8339953161041284,-0.26188881367824074,0.26188881367824074
fLPS_strict,domain_intrinsic,ncRNA,41,679,603,8099,0.06038291605301915,0.07445363625138907,0.8110136602212306,-0.302201880361639,0.302201880361639
fLPS_strict,domain_intrinsic,pre-rRNA,57,679,497,8099,0.08394698085419734,0.06136560069144339,1.367981082370512,0.4520482795228181,0.4520482795228181
fLPS_strict,domain_intrinsic,ribosomal protein,54,679,204,8099,0.07952871870397643,0.0251882948512162,3.157368101879927,1.658722467112335,1.658722467112335
fLPS_strict,domain_intrinsic,snRNA,56,679,441,8099,0.08247422680412371,0.05445116681071737,1.514645720831288,0.5989803834204459,0.5989803834204459
fLPS_strict,domain_intrinsic,snoRNA,29,679,185,8099,0.04270986745213549,0.02284232621311273,1.869768737809975,0.9028598415316222,0.9028598415316222
fLPS_strict,domain_intrinsic,tRNA,85,679,385,8099,0.1251840942562592,0.04753673292999136,2.633418128263489,1.3969366074758003,1.3969366074758003
fLPS_strict,domain_intrinsic,unknown,95,679,2104,8099,0.1399116347569956,0.2597851586615632,0.5385666967190624,-0.8928030740409921,0.8928030740409921
fLPS_strict,interdomain_linker,mRNA,380,744,3504,8099,0.510752688172043,0.4326460056797136,1.180532540383954,0.23943780878683646,0.23943780878683646
fLPS_strict,interdomain_linker,ncRNA,45,744,603,8099,0.06048387096774194,0.07445363625138907,0.8123696035949285,-0.2997918355133476,0.2997918355133476
fLPS_strict,interdomain_linker,pre-rRNA,23,744,497,8099,0.03091397849462366,0.06136560069144339,0.5037672270180221,-0.9891708254482107,0.9891708254482107
